Index,Date,Symbol,ChangeType,CorrectSymbol
Nifty 500,19980801,BAYERCROP,I,BAYER
Nifty 500,20030407,BAYERCROP,E,BAYER
Nifty MNC,19980801,BAYERCROP,I,BAYER
Nifty MNC,20000524,BAYERCROP,E,BAYER
Nifty MNC,20020117,BAYERCROP,I,BAYER
Nifty MNC,20030407,BAYERCROP,E,BAYER
Nifty Next 50,20030401,ABBOTINDIA,E,PHARMACIA
Nifty 100,20030401,ABBOTINDIA,E,PHARMACIA
Nifty 500,19980801,ABBOTINDIA,I,PHARMACIA
Nifty 500,20030401,ABBOTINDIA,E,PHARMACIA
Nifty MNC,19980801,ABBOTINDIA,I,PHARMACIA
Nifty MNC,20030401,ABBOTINDIA,E,PHARMACIA
Nifty 100,20050926,COLPAL,E,COLGATE
NIFTY Midcap 100,20051208,COLPAL,I,COLGATE
NIFTY Midcap 100,20071129,COLPAL,E,COLGATE
Nifty 500,19980801,COLPAL,I,COLGATE
Nifty 500,20071129,COLPAL,E,COLGATE
Nifty Midcap 50,20050926,COLPAL,I,COLGATE
Nifty Midcap 50,20071129,COLPAL,E,COLGATE
NIFTY LargeMidcap 250,20070924,COLPAL,E,COLGATE
Nifty FMCG,20071129,COLPAL,E,COLGATE
Nifty MNC,19980801,COLPAL,I,COLGATE
Nifty MNC,20071129,COLPAL,E,COLGATE
Nifty 50,20080314,BAJAJ-AUTO,E,BAJAJHLDNG
Nifty 100,20080314,BAJAJ-AUTO,E,BAJAJHLDNG
Nifty 500,19980801,BAJAJ-AUTO,I,BAJAJHLDNG
Nifty 500,20080314,BAJAJ-AUTO,E,BAJAJHLDNG
NIFTY LargeMidcap 250,20080314,BAJAJ-AUTO,E,BAJAJHLDNG
Nifty 200,20190927,DALMIABHA,I,DALBHARAT
NIFTY Midcap 100,20190927,DALMIABHA,I,DALBHARAT
Nifty 500,20190628,DALMIABHA,I,DALBHARAT
NIFTY LargeMidcap 250,20190628,DALMIABHA,I,DALBHARAT
Nifty Commodities,20190927,DALMIABHA,I,DALBHARAT
NIFTY Smallcap 100,20110518,ESSARPORTS,E,ESSARSHIP
Nifty 500,19980801,ESSARPORTS,I,ESSARSHIP
Nifty 500,20011207,ESSARPORTS,E,ESSARSHIP
Nifty 500,20080910,ESSARPORTS,I,ESSARSHIP
Nifty 500,20110518,ESSARPORTS,E,ESSARSHIP
NIFTY LargeMidcap 250,20080910,ESSARPORTS,I,ESSARSHIP
NIFTY LargeMidcap 250,20110325,ESSARPORTS,E,ESSARSHIP
Nifty 200,20130417,FRETAIL,E,FEL
NIFTY Midcap 100,20130417,FRETAIL,E,FEL
NIFTY Smallcap 100,20131118,FRETAIL,I,FEL
NIFTY Smallcap 100,20151214,FRETAIL,E,FEL
Nifty 500,20030401,FRETAIL,I,FEL
Nifty 500,20100917,FRETAIL,E,FEL
Nifty 500,20110325,FRETAIL,I,FEL
Nifty 500,20130417,FRETAIL,E,FEL
Nifty 500,20131118,FRETAIL,I,FEL
Nifty 500,20151214,FRETAIL,E,FEL
Nifty Midcap 50,20130417,FRETAIL,E,FEL
Nifty India Consumption,20130417,FRETAIL,E,FEL
Nifty High Beta 50,20130417,FRETAIL,E,FEL
Nifty High Beta 50,20140113,FRETAIL,I,FEL
Nifty High Beta 50,20141014,FRETAIL,E,FEL
Nifty 50,19990526,GESHIP,E,GESHIPPING
Nifty Next 50,20061108,GESHIP,E,GESHIPPING
Nifty 100,20061108,GESHIP,E,GESHIPPING
NIFTY Midcap 100,20061108,GESHIP,E,GESHIPPING
Nifty 500,19980801,GESHIP,I,GESHIPPING
Nifty 500,20061108,GESHIP,E,GESHIPPING
NIFTY LargeMidcap 250,20060901,GESHIP,E,GESHIPPING
Nifty Infrastructure,20060119,GESHIP,E,GESHIPPING
Nifty Services Sector,20060302,GESHIP,E,GESHIPPING
Nifty 200,20150928,MAXINDIA,E,MFSL
NIFTY Midcap 100,20150928,MAXINDIA,E,MFSL
Nifty 500,19980801,MAXINDIA,I,MFSL
Nifty 500,20150928,MAXINDIA,E,MFSL
Nifty 500,20170316,MAXINDIA,I,MFSL
Nifty 500,20191227,MAXINDIA,E,MFSL
Nifty Dividend Opportunities 50,20131028,MAXINDIA,I,MFSL
Nifty Dividend Opportunities 50,20150928,MAXINDIA,E,MFSL
Nifty Alpha 50,20130708,MAXINDIA,E,MFSL
Nifty 50,19960918,NESTLEIND,I,NESTLE
Nifty 50,20030804,NESTLEIND,E,NESTLE
Nifty 100,20030804,NESTLEIND,E,NESTLE
Nifty 500,19980801,NESTLEIND,I,NESTLE
Nifty 500,20030804,NESTLEIND,E,NESTLE
Nifty FMCG,20030804,NESTLEIND,E,NESTLE
Nifty MNC,19980801,NESTLEIND,I,NESTLE
Nifty MNC,20030804,NESTLEIND,E,NESTLE
Nifty 50,20070404,RELPETRO,I,RPL
Nifty 50,20090617,RELPETRO,E,RPL
Nifty Next 50,20060922,RELPETRO,I,RPL
Nifty Next 50,20070404,RELPETRO,E,RPL
Nifty 100,20060922,RELPETRO,I,RPL
Nifty 100,20090617,RELPETRO,E,RPL
Nifty 500,20080922,RELPETRO,I,RPL
Nifty 500,20090617,RELPETRO,E,RPL
NIFTY LargeMidcap 250,20060901,RELPETRO,I,RPL
NIFTY LargeMidcap 250,20090617,RELPETRO,E,RPL
Nifty Energy,20070404,RELPETRO,I,RPL
Nifty Energy,20090617,RELPETRO,E,RPL
NIFTY Midcap 100,20070329,NXTDIGITAL,E,HTMT
Nifty 500,20011011,NXTDIGITAL,I,HTMT
Nifty 500,20070329,NXTDIGITAL,E,HTMT
NIFTY LargeMidcap 250,20060901,NXTDIGITAL,E,HTMT
Nifty IT,20030502,NXTDIGITAL,I,HTMT
Nifty IT,20070329,NXTDIGITAL,E,HTMT
Nifty 500,20070924,TV18,I,TV-18
Nifty 500,20110621,TV18,E,TV-18
NIFTY LargeMidcap 250,20070924,TV18,I,TV-18
NIFTY LargeMidcap 250,20091022,TV18,E,TV-18
Nifty 500,19980801,ASIANHOTNR,I,ASIANHOTEL
Nifty 500,20100224,ASIANHOTNR,E,ASIANHOTEL
NIFTY LargeMidcap 250,20080314,ASIANHOTNR,E,ASIANHOTEL
NIFTY Midcap 100,20080229,BALLARPUR,E,BILT
Nifty 500,19980801,BALLARPUR,I,BILT
Nifty 500,20080229,BALLARPUR,E,BILT
NIFTY LargeMidcap 250,20070924,BALLARPUR,E,BILT
Nifty 500,19980801,GRINDWELL,I,GRINWELNOR
Nifty 500,20020423,GRINDWELL,E,GRINWELNOR
Nifty MNC,19980801,GRINDWELL,I,GRINWELNOR
Nifty MNC,19990526,GRINDWELL,E,GRINWELNOR
Nifty 500,19980801,JINDALPHOT,I,JINDALFOTO
Nifty 500,20020919,JINDALPHOT,E,JINDALFOTO
Nifty 500,20030401,JINDALPHOT,I,JINDALFOTO
Nifty 500,20041222,JINDALPHOT,E,JINDALFOTO
Nifty 500,20030407,JISLDVREQS,I,JAINIRRIG
Nifty Midcap 50,20111010,JISLDVREQS,I,JAINIRRIG
NIFTY LargeMidcap 250,20070404,JISLDVREQS,I,JAINIRRIG
Nifty 50,19981007,NIITLTD,I,NIIT
Nifty 50,20040301,NIITLTD,E,NIIT
Nifty 50,20040524,LT,E,L&T
